id,base_pkg,adv_pkg,attack_type,response_count,likert_scores,considering_scores,confusability_cat
702,object.assign,object,simplification,3,"[4, 6, 1]","[4, 6, 1]",Mildly Confusing
200,colors,colours,alternate spelling,7,"[4, 5, 6, 6, 6, 6, 4]","[6, 6, 6]",Very Highly Confusing
2,@angular/common,@angular-contrib/common,scope confusion,4,"[4, 5, 6, 5]","[5, 5, 5]",Highly Confusing
357,fast-bind,bind-fast,sequence reordering,3,"[4, 5, 5]","[4, 5, 5]",Confusing
689,node.extend,extend-node,sequence reordering,3,"[4, 5, 5]","[4, 5, 5]",Confusing
775,proxy,proxys,grammatical substitution,3,"[4, 5, 5]","[4, 5, 5]",Confusing
818,react-native-permissions,react-native-permission,grammatical substitution,3,"[4, 5, 5]","[4, 5, 5]",Confusing
996,tar,tor,homographic replacement,3,"[4, 5, 5]","[4, 5, 5]",Confusing
275,del,noodel,prefix/ suffix augmentation,4,"[4, 5, 4]","[4, 5, 4]",Confusing
936,sleep-promise,promise-sleep,sequence reordering,3,"[4, 5, 4]","[4, 5, 4]",Confusing
194,color,colorjs.io,prefix/ suffix augmentation,4,"[4, 5, 4, 1]","[4, 4, 4]",Confusing
568,keycloak-js,keycloak,simplification,4,"[4, 5, 3, 4]","[5, 4, 4]",Confusing
950,squeak,squeakeasy,prefix/ suffix augmentation,4,"[4, 5, 3, 2]","[4, 5, 5]",Confusing
8,@aws-cdk/aws-ssm,@aws-cdk/aws-sso,scope confusion,4,"[4, 5, 3, 1]","[1, 1, 1]",Not Confusing
201,colour,c0lor,homophonic similarity,4,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
207,compress,gql-compress,prefix/ suffix augmentation,4,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
362,fastify-websocket,fastify-etag,asemantic substitution,4,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
466,http-server,server-http,sequence reordering,3,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
541,jsii,is-js,delimiter modification,4,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
597,lodash,lowdash,homophonic similarity,3,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
906,sd-notify,notify,simplification,3,"[4, 5, 2]","[4, 5, 2]",Mildly Confusing
281,detect-conflict,detect-conflicts,grammatical substitution,4,"[4, 5, 1]","[4, 5, 1]",Mildly Confusing
748,pn,qn,homographic replacement,3,"[4, 5, 1]","[4, 5, 1]",Mildly Confusing
840,read-metadata,readjson,asemantic substitution,3,"[4, 5, 1]","[4, 5, 1]",Mildly Confusing
846,reduce-object,object-reduce,sequence reordering,3,"[4, 5, 1]","[4, 5, 1]",Mildly Confusing
366,fetch,fetchr,grammatical substitution,4,"[4, 5, 1, 3]","[4, 4, 1]",Mildly Confusing
618,make-error,createerror,semantic substitution,4,"[4, 5, 1, 3]","[4, 1, 5]",Mildly Confusing
967,stream-buffers,streambuffers,delimiter modification,3,"[4, 4, 6]","[4, 4, 6]",Confusing
432,graphql-redis-subscriptions,graphql-rabbitmq-subscriptions,semantic substitution,4,"[4, 4, 6, 4]","[4, 4, 4]",Confusing
290,dnscache,dns-cache,delimiter modification,3,"[4, 4, 5]","[4, 4, 5]",Confusing
