adv_pkg,base_pkg,category,typomind_cat
mixy, mixly, Omitted Characters,{'1-step D-L dist': 1}
envvar, env-var, Omitted Characters,NA
hex-to-hsl, hsl-to-hex, Swapped Words,{'sequence reordering': 1}
countries-lizt, countries-list, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
promise-es6, es6-promise, Swapped Words,NA
int-tel-input, intl-tel-input, Omitted Characters,NA
maki, mali, Common Typos,NA
json-path, jsonpath, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-path, jsonpath, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
node-rev, node-dev, Common Typos,NA
npm-lib, libnpm, Swapped Words,NA
path.js, xpath.js, Omitted Characters,{'1-step D-L dist': 1}
path.js, jspath, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1, 'sequence reordering': 1}"
v-money3, v-money, Version Number,NA
time-ago, timeago, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
time-ago, timeago, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
rools, rooks, Common Typos,{'1-step D-L dist': 1}
ftp4, ftp, Version Number,NA
td, fd, Common Typos,NA
jjv, jju, Common Typos,NA
graphql-fields-list, graphql-list-fields, Swapped Words,{'sequence reordering': 1}
jconv, iconv, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
png.js, pngjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
png.js, pngjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
jscat, jsvat, Common Typos,NA
finf, find, Common Typos,NA
single-spa-angular2, single-spa-angular, Version Number,NA
argf, argv, Common Typos,NA
npcache, nocache, Common Typos,NA
isdefined, is-defined, Omitted Characters,NA
mathjax3, mathjax, Version Number,NA
errorex, error-ex, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
treemap-js, jstreemap, Swapped Words,NA
git-tags-remote, remote-git-tags, Swapped Words,NA
code, xcode, Omitted Characters,{'1-step D-L dist': 1}
port-pid, pid-port, Swapped Words,{'sequence reordering': 1}
stream-fork, fork-stream, Swapped Words,{'sequence reordering': 1}
map-lru, lru_map, Swapped Words,NA
jes, ejs, Swapped Characters,NA
jes, jws, Common Typos,NA
query-component, component-query, Swapped Words,{'sequence reordering': 1}
user-agent, user-agents, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
user-agent, useragent, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
user-agent, useragent, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
path-to-regex, path-to-regexp, Omitted Characters,{'1-step D-L dist': 1}
vm, mv, Swapped Characters,NA
vm, gm, Common Typos,NA
ast-stringify, fast-stringify, Omitted Characters,NA
dom-utils, domutils, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
dom-utils, domutils, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
salsa20, xsalsa20, Omitted Characters,{'1-step D-L dist': 1}
ioa, koa, Common Typos,NA
have, shave, Omitted Characters,{'1-step D-L dist': 1}
have, nave, Common Typos,{'1-step D-L dist': 1}
mailparse, mailparser, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
pon-cli, opn-cli, Swapped Characters,{'1-step D-L dist': 1}
time-span, timespan, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
time-span, timespan, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
each, eachr, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
md-2-json, json2md, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
js-template, jss-template, Omitted Characters,"{'grammatical substitution': True, 'homophonic similarity': True, '1-step D-L dist': 1}"
leaflet.fullscreen, leaflet-fullscreen, Swapped Words,{'delimiter modification': 1}
leaflet.fullscreen, leaflet-fullscreen, Common Typos,{'delimiter modification': 1}
crypto2, crypto, Version Number,"{'prefix/ suffix augmentation': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
ttouch, touch, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
ngannotate-loader, ng-annotate-loader, Omitted Characters,{'delimiter modification': 1}
styl-utils, style-utils, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
vue3-ace-editor, vue2-ace-editor, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
uppercase, upper-case, Omitted Characters,{'delimiter modification': 1}
ubm, uvm, Common Typos,NA
@fluent-ui/styles, @fluentui/styles, Swapped Words,{'scope confusion': 1}
@fluent-ui/styles, @fluentui/styles, Common Typos,{'scope confusion': 1}
pkg1, pkg, Version Number,{'prefix/ suffix augmentation': 1}
canonicaljson, canonical-json, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
uglify-js2, uglify-js, Version Number,NA
inflection2, inflection, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
hjs, yjs, Common Typos,NA
fireorm, fireworm, Omitted Characters,{'1-step D-L dist': 1}
buynan, bunyan, Swapped Characters,{'1-step D-L dist': 1}
m5, ms, Common Typos,NA
css-utils, icss-utils, Omitted Characters,NA
dv, dc, Common Typos,NA
ng-dropzone, ngx-dropzone, Omitted Characters,{'1-step D-L dist': 1}
grapejs, grapesjs, Omitted Characters,{'1-step D-L dist': 1}
esn, esm, Common Typos,{'homographic replacement': 1}
bithub, github, Common Typos,{'1-step D-L dist': 1}
hrpc, grpc, Common Typos,{'1-step D-L dist': 1}
zip-js, gzip-js, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
zip-js, jszip, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1, '1-step D-L dist': 1}"
path-temp, temp-path, Swapped Words,{'sequence reordering': 1}
swc, sec, Common Typos,NA
ert, ret, Swapped Characters,NA
ert, err, Common Typos,NA
ses, sse, Swapped Characters,NA
rgb-color, rgbcolor, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
rgb-color, rgbcolor, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
stream-slicer, stream-splicer, Omitted Characters,{'1-step D-L dist': 1}
adios, axios, Common Typos,{'1-step D-L dist': 1}
nw, n3, Common Typos,NA
hr, he, Common Typos,NA
asyncc, async, Repeated Characters,{'1-step D-L dist': 1}
motion, emotion, Omitted Characters,{'1-step D-L dist': 1}
setimmediate2, setimmediate, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
use-async-effect2, use-async-effect, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
try-nice, nice-try, Swapped Words,{'sequence reordering': 1}
arv, arg, Common Typos,NA
so, os, Swapped Characters,NA
so, xo, Common Typos,NA
astq, fastq, Omitted Characters,{'1-step D-L dist': 1}
astq, astw, Common Typos,{'1-step D-L dist': 1}
cache-lru, lru-cache, Swapped Words,{'sequence reordering': 1}
load, lozad, Omitted Characters,{'1-step D-L dist': 1}
load, lpad, Common Typos,{'1-step D-L dist': 1}
ax, zx, Common Typos,NA
mpm, npm, Common Typos,{'homographic replacement': 1}
ssb-config, ssh-config, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
bufferstream, bufferstreams, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
trycatch, try-catch, Omitted Characters,{'delimiter modification': 1}
eventie, eventid, Common Typos,{'1-step D-L dist': 1}
aws-sig, aws-sign, Omitted Characters,{'1-step D-L dist': 1}
mimetype, mime-type, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
rijs, urijs, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
empt, empty, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
prism-js, prismjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
prism-js, prismjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
xmlreader, xml-reader, Omitted Characters,{'delimiter modification': 1}
math, mpath, Omitted Characters,{'1-step D-L dist': 1}
stats-js, stats.js, Swapped Words,{'delimiter modification': 1}
stats-js, stats.js, Common Typos,{'delimiter modification': 1}
gpp, hpp, Common Typos,NA
jis, iis, Common Typos,{'homographic replacement': 1}
images-loaded, imagesloaded, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
images-loaded, imagesloaded, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
find-up-sync, findup-sync, Common Typos,{'1-step D-L dist': 1}
nap, nsp, Common Typos,NA
to, yo, Common Typos,NA
graphqltools, graphql-tools, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
deep-clean, clean-deep, Swapped Words,{'sequence reordering': 1}
lodash.reescape, lodash._reescape, Omitted Characters,{'delimiter modification': 1}
lodash.reevaluate, lodash._reevaluate, Omitted Characters,{'delimiter modification': 1}
lodash.reinterpolate, lodash._reinterpolate, Omitted Characters,NA
postcss-svg, postcss-svgo, Omitted Characters,{'1-step D-L dist': 1}
uuidjs, uuid-js, Omitted Characters,{'delimiter modification': 1}
jsonstream, json-stream, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
homepath, home-path, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
react-script, react-scripts, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
util-merge, utils-merge, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
react-datagrid, react-data-grid, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tdlib, tslib, Common Typos,{'1-step D-L dist': 1}
disposable, disposables, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
datatables.net-bs5, datatables.net-bs4, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
datatables.net-bs5, datatables.net-bs, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
esbuild-plugin-sass, esbuild-sass-plugin, Swapped Words,{'sequence reordering': 1}
crossfilter, crossfilter2, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
dint, cint, Common Typos,{'1-step D-L dist': 1}
format-date, dateformat, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
react-xr, react-rx, Swapped Characters,{'1-step D-L dist': 1}
heredoc, theredoc, Omitted Characters,NA
ddp, sdp, Common Typos,NA
dift, diff, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
pmap, p-map, Omitted Characters,{'delimiter modification': 1}
bluebird-co, co-bluebird, Swapped Words,{'sequence reordering': 1}
cck, cdk, Common Typos,NA
vum, uvm, Swapped Characters,NA
dog, dot, Common Typos,NA
react-slik, react-slick, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
slik, slick, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
open-url, openurl, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
open-url, openurl, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
printd, printf, Common Typos,{'1-step D-L dist': 1}
json-editor, jsoneditor, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-editor, jsoneditor, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
async-queue, async.queue, Swapped Words,{'delimiter modification': 1}
async-queue, async.queue, Common Typos,{'delimiter modification': 1}
wax, sax, Common Typos,NA
umf, umd, Common Typos,NA
jscl, sjcl, Swapped Characters,{'1-step D-L dist': 1}
jscl, jsck, Common Typos,{'1-step D-L dist': 1}
whooks, ahooks, Common Typos,{'1-step D-L dist': 1}
dids, cids, Common Typos,{'1-step D-L dist': 1}
sar, swr, Common Typos,NA
emit, emits, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
color-thief, colorthief, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
color-thief, colorthief, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
bfile, vfile, Common Typos,NA
n64, b64, Common Typos,NA
logger, zlogger, Omitted Characters,{'1-step D-L dist': 1}
goot, got, Repeated Characters,NA
vuejs-paginate2, vuejs-paginate, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
runnel, tunnel, Common Typos,{'1-step D-L dist': 1}
pw, ow, Common Typos,NA
exm, esm, Common Typos,NA
feather-icon, feather-icons, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
globs2, globs, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
ss-parser, rss-parser, Omitted Characters,{'1-step D-L dist': 1}
gp, pg, Swapped Characters,NA
cookie-js, cookies-js, Omitted Characters,NA
cookie-js, js-cookie, Swapped Words,NA
sqllite, sqlite, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
asset, assert, Omitted Characters,NA
react-navigation-native, react-native-navigation, Swapped Words,{'sequence reordering': 1}
cps, cpx, Common Typos,NA
bignumber, big-number, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
js-xxhash, xxhashjs, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
wheen, when, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-datetimepicker, react-datetime-picker, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
globl, global, Omitted Characters,NA
globl, globo, Common Typos,NA
angular2, angular, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
urlpattern, url-pattern, Omitted Characters,{'delimiter modification': 1}
pika, puka, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
queue2, queue, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
inheritz, inherits, Common Typos,{'1-step D-L dist': 1}
object-deep-diff, deep-object-diff, Swapped Words,{'sequence reordering': 1}
rdfa, refa, Common Typos,{'1-step D-L dist': 1}
cc, dc, Common Typos,NA
rcon, cron, Swapped Characters,{'1-step D-L dist': 1}
apollo-server-redis-cache, apollo-server-cache-redis, Swapped Words,{'sequence reordering': 1}
ui, ul, Common Typos,{'homographic replacement': 1}
libt, lint, Common Typos,{'1-step D-L dist': 1}
jobs, qjobs, Omitted Characters,{'1-step D-L dist': 1}
filter-object, object-filter, Swapped Words,{'sequence reordering': 1}
mmocha, mocha, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
angular-flatpickr, angularx-flatpickr, Omitted Characters,{'1-step D-L dist': 1}
slice, sliced, Omitted Characters,{'1-step D-L dist': 1}
slice, slide, Common Typos,{'1-step D-L dist': 1}
racer, tracer, Omitted Characters,NA
randm, random, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
xmljson, xml2json, Omitted Characters,{'1-step D-L dist': 1}
purifycss, purify-css, Omitted Characters,{'delimiter modification': 1}
react-native-jest, jest-react-native, Swapped Words,{'sequence reordering': 1}
react-qr-reader2, react-qr-reader, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
printthis, print-this, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
gits, gists, Omitted Characters,{'1-step D-L dist': 1}
formatic, fortmatic, Omitted Characters,{'1-step D-L dist': 1}
apollo-client-mock, mock-apollo-client, Swapped Words,{'sequence reordering': 1}
bill, bull, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
gsts, gists, Omitted Characters,{'1-step D-L dist': 1}
gsts, hsts, Common Typos,{'1-step D-L dist': 1}
json-serve, json-server, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
dare, dagre, Omitted Characters,{'1-step D-L dist': 1}
smqp, amqp, Common Typos,{'1-step D-L dist': 1}
exif-reader, exifreader, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
exif-reader, exifreader, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
msa, msw, Common Typos,NA
dom-helper, dom-helpers, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
gulp-log, gulplog, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
gulp-log, gulplog, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
e2, r2, Common Typos,NA
filter-css, cssfilter, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1, 'sequence reordering': 1}"
action-toolkit, actions-toolkit, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
coz, coa, Common Typos,NA
pon, opn, Swapped Characters,NA
arrayfilter, array-filter, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
arraysort, array-sort, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
d-fine, fined, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
confg, config, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
remi, remix, Omitted Characters,{'1-step D-L dist': 1}
res, rss, Common Typos,NA
vue3-datepicker, vue2-datepicker, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
typescript-styled-components-plugin, typescript-plugin-styled-components, Swapped Words,{'sequence reordering': 1}
