adv_pkg,base_pkg,category,typomind_cat
array.from, array-from, Common Typos,{'delimiter modification': 1}
tds, tsd, Swapped Characters,NA
material-icon, material-icons, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
msq, msw, Common Typos,NA
browserfy, browserify, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
msql, mysql, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
msql, msal, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
uglifyjs, uglify-js, Omitted Characters,{'delimiter modification': 1}
jencrypt, jsencrypt, Omitted Characters,{'1-step D-L dist': 1}
socks-client, sockjs-client, Omitted Characters,{'1-step D-L dist': 1}
deepequal, deep-equal, Omitted Characters,NA
asciitable, ascii-table, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
cookie.js, js-cookie, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
typed-graphql, graphql-typed, Swapped Words,{'sequence reordering': 1}
fa, fs, Common Typos,NA
vls, vis, Common Typos,{'homographic replacement': 1}
pretti, pretty, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
errr, err, Repeated Characters,{'prefix/ suffix augmentation': 1}
errr, error, Omitted Characters,{'1-step D-L dist': 1}
d2, d3, Common Typos,NA
d2, d, Version Number,NA
object-defaults, object.defaults, Swapped Words,{'delimiter modification': 1}
object-defaults, object.defaults, Common Typos,{'delimiter modification': 1}
syno, synp, Common Typos,{'1-step D-L dist': 1}
log-util, log-utils, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
future, fluture, Omitted Characters,NA
http-s, https, Swapped Words,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
http-s, https, Common Typos,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
as, qs, Common Typos,NA
bc, cb, Swapped Characters,NA
colorz, colors, Common Typos,NA
react-native-swipe-out, react-native-swipeout, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
freeze-deep, deep-freeze, Swapped Words,{'sequence reordering': 1}
qn, qj, Common Typos,NA
du, di, Common Typos,NA
react-scoll, react-scroll, Omitted Characters,{'1-step D-L dist': 1}
pretty-js, pretty-ms, Common Typos,{'1-step D-L dist': 1}
webpack-simple-progress-plugin, simple-progress-webpack-plugin, Swapped Words,{'sequence reordering': 1}
vue-axios3, vue-axios, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
multiaddr-to-url, multiaddr-to-uri, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
bootstrap3, bootstrap, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
phpass, pgpass, Common Typos,{'1-step D-L dist': 1}
jsonix, jsonic, Common Typos,{'1-step D-L dist': 1}
rangy2, rangy, Version Number,NA
dstate, xstate, Common Typos,{'1-step D-L dist': 1}
raco, craco, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
deep-defaults, defaults-deep, Swapped Words,{'sequence reordering': 1}
rx-form, rc-form, Common Typos,{'1-step D-L dist': 1}
arraybuffer-slice, arraybuffer.slice, Swapped Words,{'delimiter modification': 1}
arraybuffer-slice, arraybuffer.slice, Common Typos,{'delimiter modification': 1}
